UAHUKX7GH1U-00001-00000210-00000311 こんにちは、だつで
UAHUKX7GH1U-00002-00000312-00000437 ということで
UAHUKX7GH1U-00003-00000438-00000761 皆さんこの動画はですねこのびっくり
UAHUKX7GH1U-00004-00000762-00000935 ご視聴ありがとうございました
UAHUKX7GH1U-00005-00000936-00001175 めちゃくちゃうるさいです。本当にうるさいです。
UAHUKX7GH1U-00006-00001176-00001433 ので皆さん音量下げてから
UAHUKX7GH1U-00007-00001434-00001643 この動画をご視聴してください
UAHUKX7GH1U-00008-00001644-00001984 視聴してくださいということでどうぞ
UAHUKX7GH1U-00011-00002382-00002687 いないんだけどうわいた!ちょっとえ、なにこれなにこれ
UAHUKX7GH1U-00012-00002688-00002867 どうすんのこれ
UAHUKX7GH1U-00016-00003468-00003658 医療誰か
UAHUKX7GH1U-00018-00003911-00004025 誰ですか?
UAHUKX7GH1U-00019-00004026-00004486 インタラクション
UAHUKX7GH1U-00021-00004554-00004895 深夜2時にこの学校の2階の女子トイレが
UAHUKX7GH1U-00022-00004896-00005099 トイレの花草に会えるらしい
UAHUKX7GH1U-00023-00005100-00005297 何でも見つかったら
UAHUKX7GH1U-00025-00005484-00005663 出れない
UAHUKX7GH1U-00026-00005664-00005959 より確かめてみないかいいよ
UAHUKX7GH1U-00028-00006119-00006334 何かいいよっていいよしかな
UAHUKX7GH1U-00029-00006335-00006569 いいよし
UAHUKX7GH1U-00031-00006684-00007181 どうぞ先行していただいて
UAHUKX7GH1U-00032-00007181-00007439 絶対ここら辺はまだ出ないから
UAHUKX7GH1U-00033-00007440-00007601 まだ
UAHUKX7GH1U-00034-00007602-00007948 学校学校学校なんかなんかさなんか俺のやつ
UAHUKX7GH1U-00035-00007950-00008105 あのなんか見たことあんだけど
UAHUKX7GH1U-00036-00008106-00008381 最悪だわ見て見て見て立つ
UAHUKX7GH1U-00037-00008382-00008575 ねえねえねえこれ
UAHUKX7GH1U-00039-00008796-00009035 俺はセキュリティの前で待ってるこれを見たら
UAHUKX7GH1U-00041-00009384-00009628 2階奥だって2階奥に女子通りがあるの
UAHUKX7GH1U-00042-00009629-00009785 そこに向かおうと待って
UAHUKX7GH1U-00044-00009884-00010210 なんか俺ここのさ嫌な思い出あるんだけど
UAHUKX7GH1U-00045-00010211-00010601 このなんかあれででは2回はの奥ってこっち
UAHUKX7GH1U-00048-00010746-00010949 でも嫌なんだけど俺このさうわびっくりした
UAHUKX7GH1U-00049-00010950-00011099 顔がめっちゃびっくりした
