-7w9qsazt8o-00002-00000475-00000847 感想が一つありつつと
-7w9qsazt8o-00004-00001134-00001456 胃袋ポコッと丸く
-7w9qsazt8o-00005-00001457-00001902 こうしてくるっと回って象徴を大調査
-7w9qsazt8o-00007-00002028-00002611 ちょっちょっと置いてらあっという間にぞ
-7w9qsazt8o-00008-00002612-00003336 いや、あっという間にも何も。最初に肝臓一つ置いた時点で、すでに動物以外に何も…
-7w9qsazt8o-00009-00003338-00003517 でもないだろ
-7w9qsazt8o-00010-00003518-00003883 私のゾウの生化菌ってお気に召さなかったかしら?
-7w9qsazt8o-00012-00003924-00004310 それじゃあ2番も歌ってみる?いや歌わなくていい
-7w9qsazt8o-00013-00004311-00004898 2番の歌詞はもう少し深いところに踏み込んで、水道堪能寄贈に屈し、
-7w9qsazt8o-00014-00004899-00005225 暴行に向かう妖怪まで上手にかけるのよ
-7w9qsazt8o-00015-00005226-00005465 次回魔女たちの高い
-7w9qsazt8o-00016-00005466-00005772 クシマフタツアディオシタ
-7w9qsazt8o-00017-00005773-00006111 だから負担はなくていいって
-oIb9c20jdQ-00061-00030650-00030876 あーね、いまね、おとといな
AFjrBde3bCU-00000-00000000-00000443 京都駅です。ここ行ったことありますか?
AFjrBde3bCU-00001-00000444-00000882 ここは、風中経路と呼ばれる遊歩道です。
AFjrBde3bCU-00002-00000883-00001407 京都駅ビルの百貨店のエレベーターで10階の京都ラーメン工事のところ
AFjrBde3bCU-00003-00001408-00002350 もしくは、東側の東広場のエスカレーターで向かうことができます。
AFjrBde3bCU-00004-00002351-00003072 あれあれ、あかんあかん、きっとでした。
AFjrBde3bCU-00005-00003073-00003402 営業時間は10時から22時までしかも無料で
AFjrBde3bCU-00006-00003403-00003922 今日と日は一望できるという噂です。
AFjrBde3bCU-00008-00004993-00005428 初めて入ったのですが床がマットになっているんですね
AFjrBde3bCU-00009-00005429-00006315 マットなら転んでも大丈夫さすが強パンキビル
AFjrBde3bCU-00010-00006316-00007189 一人ぐらい人がいるかと思いましたが誰もいませんね
AFjrBde3bCU-00011-00007190-00007606 なんだこれ、見通しか悪い。悪い、悪すぎる。
