-4ff7nskf1y-00000-00000027-00000399 トンプソンハウス来ました
-4ff7nskf1y-00001-00000400-00000991 早いとこ近くの発電機回そう
-4ff7nskf1y-00002-00000992-00001470 ミスったキラー誰かわかんないしどうするか
-4ff7nskf1y-00003-00001471-00001942 お、二人で回してるね。キラーはプレイズか。
-4ff7nskf1y-00004-00001943-00002740 ターゲット変更しそうだな。やっぱり来てる。
-4ff7nskf1y-00006-00003098-00003297 破滅ないなぁ
-4ff7nskf1y-00007-00003299-00003828 ここチェイスできそうにないから透けたほうがいいな。
-4ff7nskf1y-00008-00003829-00004031 今度は俺か
-4ff7nskf1y-00014-00006734-00007062 発電機回ってると凝っちゃったごめん
-4ff7nskf1y-00016-00008250-00008714 衰弱不祥になるより先に殴られるのはラッキー
-4ff7nskf1y-00018-00009083-00009399 俺が連れてっちゃったから
-4ff7nskf1y-00019-00009400-00010609 ごめんなぁん
-4ff7nskf1y-00020-00010610-00011678 こっちっていうかな?
-4ff7nskf1y-00021-00011679-00011827 救助してくれたな
-4ff7nskf1y-00023-00012109-00012355 傷につかったのさ。
-4ff7nskf1y-00024-00012356-00013049 じゃあ俺も今回は泉一回まくろう。なるべく遠い場所の泉伝うか。
-4ff7nskf1y-00026-00013534-00013874 これで全員無傷だな。
-4ff7nskf1y-00027-00013875-00014072 ドォーイ!バッチー!
-4ff7nskf1y-00028-00014074-00014505 さらばこあけよ
-4ff7nskf1y-00029-00014506-00014775 工具がこった
-4ff7nskf1y-00030-00014776-00015658 新音座近い
-4ff7nskf1y-00031-00015659-00016477 振ったらこっち食うよな
-4ff7nskf1y-00032-00016478-00016849 ここの発電機は終わってた。
-4ff7nskf1y-00033-00016850-00017088 半分切る前に間に合え
-4ff7nskf1y-00034-00017089-00017616 よし間に合った。きっかけで治療しよう。
-4ff7nskf1y-00036-00017937-00018145 よしオッケー
-4ff7nskf1y-00038-00018450-00018745 戻ってってるな
-4ff7nskf1y-00039-00018746-00019634 ああ、あんなところに破滅があったのか。
-4ff7nskf1y-00040-00019635-00020768 みんな泉使いまくってるね
-4ff7nskf1y-00041-00020769-00021273 この発電機が終わったら、助けに行こう。
-4ff7nskf1y-00042-00021274-00022518 蹴られる前につけれたぞ
-4ff7nskf1y-00052-00030612-00031026 むずい、おぼくの図書だ。
