CFWRJ0FZ1S8-00001-00001898-00002354 クヨクビシチョウ!イジジェデザイン!
CFWRJ0FZ1S8-00003-00002592-00002710 多いかなぁ
CFWRJ0FZ1S8-00005-00003000-00003286 ただの法律ではありませんか?
CFWRJ0FZ1S8-00006-00003286-00003552 おっしゃる通りです
CFWRJ0FZ1S8-00007-00003553-00003727 俺は…あぁ…
CFWRJ0FZ1S8-00008-00003728-00004072 えっと、待ってくれ。確か、新名とは必要するも…
CFWRJ0FZ1S8-00009-00004072-00004228 だったよな
CFWRJ0FZ1S8-00010-00004229-00004555 うん、わかってる、わかってるぞ、おい
CFWRJ0FZ1S8-00011-00004556-00004876 新名は大使だった
CFWRJ0FZ1S8-00012-00004877-00005191 も迂闊に明かしてはいけない
CFWRJ0FZ1S8-00014-00005570-00006623 いやしかしあえてわー新名を開放する
CFWRJ0FZ1S8-00017-00006877-00007081 ギリしたなぁ
CFWRJ0FZ1S8-00018-00007081-00007300 2つも3つも抱えているのけど
CFWRJ0FZ1S8-00021-00007536-00007820 また面倒なことが始まった予感
CFWRJ0FZ1S8-00022-00007820-00008194 で、あのイケメンもどきはどなたです?
CFWRJ0FZ1S8-00025-00008523-00008818 ああ言ってるよ
CFWRJ0FZ1S8-00026-00008819-00009092 にしゃべるって呼んでくれてもいいぜよ
CFWRJ0FZ1S8-00027-00009093-00009382 むしろそう呼んでほしい
CFWRJ0FZ1S8-00029-00009504-00009787 気安いのは助かるなぁ
CFWRJ0FZ1S8-00030-00009788-00010008 調子がクレイだわ
CFWRJ0FZ1S8-00032-00010117-00010381 俺の性格は変えようがないや
CFWRJ0FZ1S8-00033-00010382-00010739 あんたの調子が悪くなるのが
CFWRJ0FZ1S8-00034-00010740-00010976 欲しいものになれてくれ
CFWRJ0FZ1S8-00035-00010977-00011219 俺には俺の美意識があるのさ
CFWRJ0FZ1S8-00036-00011220-00011513 そこだけは譲れねえたとえマスタード
CFWRJ0FZ1S8-00038-00011593-00011984 かっこいいかどうかってだけだが
CFWRJ0FZ1S8-00039-00011985-00012433 ここが先輩のローマここがセラフか
CFWRJ0FZ1S8-00040-00012434-00012752 ディレクター&クラシック
CFWRJ0FZ1S8-00041-00012753-00013161 なかなかかっこいいじゃん!くそっ…
CFWRJ0FZ1S8-00042-00013162-00013407 突如ローマを褒めるとは何事?
CFWRJ0FZ1S8-00045-00013727-00013952 おめるんかい
CFWRJ0FZ1S8-00048-00014253-00014769 そうはいいないや
CFWRJ0FZ1S8-00049-00014769-00015413 もう投げていいんです
CFWRJ0FZ1S8-00050-00015415-00015557 ここに何か
CFWRJ0FZ1S8-00053-00015971-00016354 そこで何をしている?いうか、矢を差し折る
CFWRJ0FZ1S8-00054-00016355-00016790 二人でお散歩ねーと
CFWRJ0FZ1S8-00055-00016791-00016925 さあ
CFWRJ0FZ1S8-00058-00017290-00017508 じゃねえだろう
CFWRJ0FZ1S8-00059-00017509-00017793 新人サーバントとしていろいろ
CFWRJ0FZ1S8-00060-00017794-00018122 教えてもらいたいことがあったのさ
CFWRJ0FZ1S8-00061-00018123-00018290 これからな
CFWRJ0FZ1S8-00062-00018291-00018497 こうしてマスターと一緒じゃなきゃ
CFWRJ0FZ1S8-00063-00018498-00018782 戦う勇気もなくなっちまう
CFWRJ0FZ1S8-00064-00018783-00019064 戦場でカッコ悪くはなりたくないか
CFWRJ0FZ1S8-00065-00019065-00019328 こうやってかっこよくなるためについても
CFWRJ0FZ1S8-00066-00019329-00019470 っていうのさ
CFWRJ0FZ1S8-00067-00019471-00019797 それは俺たちのマスターは世界一かっこいい
CFWRJ0FZ1S8-00068-00019798-00020100 いいだろ
CFWRJ0FZ1S8-00069-00020101-00020322 リオの奏者は、もう…
CFWRJ0FZ1S8-00073-00020810-00021162 文字に記しても起きてるほどにな
CFWRJ0FZ1S8-00074-00021163-00021585 パロ?だからさ、そのかっこよさを分けてもらっていい?
CFWRJ0FZ1S8-00076-00021661-00022183 じゃあ、行こうぜ、マスター!
CFWRJ0FZ1S8-00077-00022184-00022522 鳥がやけに親密に見えてしまうのは
CFWRJ0FZ1S8-00078-00022523-00022721 気のせいか?
CFWRJ0FZ1S8-00081-00023405-00023784 あれが噂に聞いた太陽神スムリアの子
CFWRJ0FZ1S8-00082-00023785-00024085 おつかれさまです
