c9wg9nmod64-00000-00000048-00000316 寝たらスマホを出たいんだけど。来年。
c9wg9nmod64-00002-00000431-00000850 あの、あーこの鉄形車、40キロのプリジオ
c9wg9nmod64-00003-00000851-00001157 ずっと時速100キロで走れば4時間で着くと
c9wg9nmod64-00004-00001158-00001337 考えてるタイプですね
c9wg9nmod64-00005-00001338-00001553 時間をちょっとは考えろ
c9wg9nmod64-00006-00001554-00001714 ご視聴ありがとうございました。
c9wg9nmod64-00007-00001716-00001937 場合と比べて10キロも向こうに行く
c9wg9nmod64-00008-00001938-00002032 んだぞ
c9wg9nmod64-00009-00002034-00002242 車線が詰まって80キロも出せない
c9wg9nmod64-00010-00002243-00002345 時間と、
c9wg9nmod64-00011-00002346-00002609 一応走ってる区間を合わせれば、1時間で100人。
c9wg9nmod64-00012-00002610-00002849 1キロ進むのはまず無理。スマホ用のポケット。
c9wg9nmod64-00013-00002850-00003029 としておいておきながらスマホ
c9wg9nmod64-00014-00003030-00003203 この高さも考えず、じっと。
c9wg9nmod64-00015-00003204-00003461 に置いてみるという検証もしない evq
c9wg9nmod64-00016-00003461-00003761 ご視聴ありがとうございました。
c9wg9nmod64-00017-00003761-00003965 ご視聴ありがとうございました
c9wg9nmod64-00018-00003965-00004067 ですね
c9wg9nmod64-00019-00004068-00004247 こっちのディーラーに充電器とかいらねーよ
c9wg9nmod64-00020-00004248-00004529 こっちでは開けてしまったのか。
c9wg9nmod64-00021-00004530-00004738 なんで暑い時にラジエマンを買ってくれよ
c9wg9nmod64-00022-00004739-00004861 また、ジャスク当てる動画。
c9wg9nmod64-00023-00004862-00005285 ことごとくこの年代のBMWなんだよ
c9wg9nmod64-00024-00005286-00005602 はい、今の切り返しミスのせいで、30分かけ
c9wg9nmod64-00025-00005603-00005818 渡辺
c9wg9nmod64-00026-00005819-00005999 リアオーバー
c9wg9nmod64-00027-00006000-00006317 ハンズが当たる明けにゆいー
c9wg9nmod64-00028-00006318-00006527 そんなところに花瓶置くよなぁ。
c9wg9nmod64-00029-00006528-00006737 1000円か3000円くらいだろ。
c9wg9nmod64-00030-00006738-00006983 謝罪って弁償すればいいのに引き上げを自分で
c9wg9nmod64-00031-00006984-00007133 から頼んだ挙句
